tloans_gr,tmort_gr,money_gr,ca_gr,tloans_rgdp_gr,cpi,rgdpmad,net_sentiment_dm,P_pos_dm,P_neg_dm,net_sentiment_lag1_dm,P_pos_lag1_dm,P_neg_lag1_dm
0.29164693,-0.48441574,-0.38480458,-0.755955,-0.782689,-0.9846663,-0.25910673,0.016229484,-0.9344029,-1.6094055,0.05966576,0.23889813,-0.17221066
0.011154866,0.36972797,-0.34316102,-0.43835568,-1.204645,-1.3926446,0.35763952,-0.10823729,-0.9477969,0.04087143,0.13681245,0.18656856,-1.3390998
0.7124759,0.80929613,-0.3291445,0.16203466,0.21038017,0.04763913,0.31617773,0.029909149,0.67423296,1.0079986,0.30244765,0.9877398,0.15273952
-2.2159622,-0.5671172,-0.04306958,0.0026264868,-1.184241,-0.9844565,-0.08459531,-0.112522304,-0.959334,-0.15232296,0.014861933,0.07743623,-0.19525106
-2.0902052,-0.1720064,-0.100328825,0.14487791,-1.7541076,-0.20134927,0.27178484,-0.14586367,0.015389873,-1.2641594,0.11370623,0.060248043,-0.2734133
0.06499194,-0.21059377,-0.09822749,-0.4142119,-1.4484557,-0.11798545,0.30466524,-0.46083692,-0.6373841,0.50855803,0.1249212,-0.78787345,0.11501602
0.56322527,-0.06405341,0.1409686,-0.7110685,-1.4067572,-1.0853635,0.28444114,0.028553063,-0.825159,0.21645759,-0.6023038,-1.1381975,-0.18898334
-0.03783599,-0.14745894,0.07036795,-0.7636204,-1.2418107,-0.97286683,-0.60274583,-0.022097625,0.20474397,-1.1925124,-0.75918007,-0.949575,-0.2705217
0.4535569,0.34774995,-1.1692681,-0.72781676,0.52944076,-1.5752633,-0.743538,-0.13459252,-0.13107215,0.08932334,0.28050297,0.17426425,0.25500688
-2.1483934,0.15033111,-0.4092597,-0.7389909,-1.2297895,-0.80827194,-0.40035444,-0.176074,-0.015992507,0.55158544,-0.666098,-0.63396394,-0.13511322
-2.0144587,0.12971455,-0.35387793,-0.5471877,-0.9987618,-1.0104449,-0.34578848,-0.047883466,-0.7872209,-0.12397918,-0.9859003,-0.5879271,-0.19178766
0.30083525,-0.5132125,-0.40727392,-0.6639934,-0.45573702,-1.0021406,-0.6764996,0.017801844,-0.8609262,-1.6686087,-0.781112,0.46911886,-0.24492621
-1.578819,-0.1628131,-0.4026245,-0.45091236,-1.1517724,-0.9589028,-0.45673254,-0.032900993,0.75901055,-1.0402697,0.2399644,0.114247106,0.2969693
-0.019520685,-0.1761626,-0.383708,-0.8789186,-0.93354875,-1.1781677,-0.73812425,-0.08253861,0.31912604,-1.1646914,0.20371406,-0.60825735,-0.9122442
-1.5847632,-0.09100105,-0.029566484,-0.40622258,-0.9627572,-1.0381213,-0.43816492,-0.11038807,-0.8470408,0.044403303,0.014036605,-0.65383536,-0.9628013
0.394586,-2.4314895,-0.34044737,0.7696348,-0.7722142,-1.322342,-0.008779813,-0.1831063,-0.62231976,-0.0020585326,-0.36679313,-0.5829751,0.100172885
0.06644599,-0.33368012,-0.3508454,-0.7364315,-1.0314838,-1.2715586,0.20590685,-0.08098154,-1.122415,-0.8394617,-0.7571416,-0.67462254,0.09423122
-1.8702835,0.1813364,-0.030439295,-0.38025483,-1.5782576,-1.293484,-0.017282838,-0.07859169,-0.8867169,-0.042233143,0.24478607,-0.5130646,-0.8756111
-2.4026735,0.2523907,-0.43730265,-0.35281324,-1.3422093,-1.1099297,-0.009469593,-0.012553353,0.49102235,0.4293608,0.12947382,0.6225508,0.12879696
-1.2404882,-1.550623,-0.2321271,-0.52714753,-0.889786,-1.0510665,-0.058348052,-0.023929005,-0.7517312,-0.12645853,-0.97514087,-0.4034632,-0.19421636
-2.5133624,0.2420797,-0.34862173,0.008680903,-1.4536015,-0.08917717,-0.016479792,-0.15639068,-0.96823597,0.27107483,0.013041502,0.10216471,-0.1230514
-2.1547441,0.23902804,-0.09922748,-0.774055,-1.7801077,-0.28949732,0.0128084235,-0.041944973,-0.5647315,-1.468582,-0.55673456,0.41510412,-0.31112716
-1.9277637,0.18014327,-0.124644764,-0.54371953,-1.7576451,-0.21543188,-0.10510715,-0.08883219,0.17652003,-0.9728682,-0.40917805,-0.54661405,-0.25877544
-1.7275968,0.8344688,0.027228765,-0.84615123,-1.2901828,-0.21228604,-0.27410117,0.02125755,-1.0047604,-1.2280527,-0.08695284,-0.44043365,-0.3576157
