tloans_lag1_dm,tmort_lag1_dm,money_lag1_dm,ltrate_lag1_dm,stir_lag1_dm,hpnom_lag1_dm,debtgdp_lag1_dm,cpi_lag1_dm,ca_lag1_dm,rgdpmad_lag1_dm,term_spread_lag1_dm,tloans_gr_lag1_dm,tmort_gr_lag1_dm,money_gr_lag1_dm,hpnom_gr_lag1_dm,rgdpmad_gr_lag1_dm,tloans_lag2_dm,tmort_lag2_dm,money_lag2_dm,ltrate_lag2_dm,stir_lag2_dm,hpnom_lag2_dm,debtgdp_lag2_dm,cpi_lag2_dm,ca_lag2_dm,rgdpmad_lag2_dm,term_spread_lag2_dm,tloans_lag3_dm,tmort_lag3_dm,money_lag3_dm,ltrate_lag3_dm,stir_lag3_dm,hpnom_lag3_dm,debtgdp_lag3_dm,cpi_lag3_dm,ca_lag3_dm,rgdpmad_lag3_dm,term_spread_lag3_dm,P_pos_lag1_dm,P_neg_lag1_dm,P_neutral_lag1_dm,net_sentiment_lag1_dm,P_pos_lag2_dm,P_neg_lag2_dm,P_neutral_lag2_dm,net_sentiment_lag2_dm
0.05237725,-0.026980279,-0.53797525,-0.13607608,-0.22930013,0.1663957,-0.5135933,0.036064457,-0.34201285,-0.05222078,-0.15919814,-0.37296882,-1.0325124,-0.40505454,-0.02543623,-0.20766568,0.07579447,0.011556773,-0.2322006,-0.20378584,-0.2204132,0.048397243,-0.009959185,0.0033771768,0.01143063,-0.28058183,0.0018067812,0.037857596,-0.0028612115,-2.161317,-0.0034842463,0.5821377,0.061219066,-0.12895754,-0.945197,0.021425929,-0.32097927,0.06887794,0.005388244,-0.18696411,-0.044749025,0.008494415,-0.028671825,0.010405556,0.013706487,0.002635268
-0.044163413,0.014828884,0.099228,-0.046402812,0.022771668,-0.38580978,-0.49493802,-0.2840771,-0.12590641,-0.35434824,-0.32614756,-0.08774921,-0.6998465,-0.28751534,-0.24052624,0.2824063,5.2802963e-05,-0.013067709,0.073414356,0.044134114,-0.6253611,-0.14611448,-0.010116758,-0.01532387,0.055127278,-0.3441036,-0.04356698,-0.054195285,0.00034671673,0.4322645,-0.17530222,-2.1095316,-0.096146785,-0.10014756,-0.04809581,0.21795417,0.11756734,0.12736732,0.011720263,0.18463634,0.09220007,0.016176434,-0.021485878,-0.094489284,0.011455684,-0.013969531
-0.04795897,0.014828884,0.10114036,-0.06618905,0.002405636,-0.44525835,-0.22841524,-0.32866102,-0.12671867,-0.37745625,0.11751748,-0.24770339,-0.5346686,-0.3539562,-0.11794657,0.38297114,5.2802963e-05,-0.013067709,0.06909593,0.044134114,-0.009630751,-0.23339508,-0.05094143,-0.009984933,0.040301245,-0.41708654,-0.019865874,-0.054195285,0.00034671673,0.47332898,-0.1660511,-2.7694101,-0.15035956,-0.08890349,-0.017480277,0.20317297,0.11756734,-0.21112567,0.01404325,0.19219512,-0.06877714,-0.019924015,-0.013236728,0.089063294,0.011455684,-0.013969531
-0.045974176,0.014828884,0.08976322,-0.08946618,-0.0062833265,-0.52487105,-0.10901072,-0.32344806,-0.14345509,-0.35030875,0.12171436,-0.25244004,-0.6741448,-0.34032816,-0.13294923,-0.19014496,-0.0050793476,-0.0032577661,0.120470114,0.044134114,-0.82542235,-0.19798395,-0.0018745868,-0.01532387,0.040301245,-0.2614392,-0.048606053,-0.054195285,0.00034671673,0.4701261,-0.14649218,-1.6836125,-0.1451704,-0.10836388,-0.014987021,0.17908958,0.116677955,0.11464505,0.009596646,-0.19037445,-0.08008362,-0.00028461404,0.01422379,0.089063294,0.011455684,0.03616274
-0.042790074,0.014828884,0.07238946,-0.035986964,0.022616874,-0.38978863,-0.0007631148,-0.2840771,-0.15375352,-0.33661267,-0.2999056,-0.27501905,-0.82046914,-0.19821694,-0.15716013,-0.17508626,5.2802963e-05,-0.013067709,0.0848123,0.044134114,-0.702538,-0.16276902,0.0014485654,-0.01532387,0.04340049,-0.36549297,-0.048606053,-0.054195285,0.00034671673,0.44128212,-0.1660511,-2.2801793,-0.101335935,-0.1158185,-0.056711186,0.21795417,0.116677955,-0.18993178,0.016163202,-0.14083515,-0.07085343,-0.016134458,0.010037154,-0.064897954,0.011455684,-0.010368705
-0.0414901,0.021459553,0.18111293,-0.121675186,0.023500098,-0.41604,-0.017798882,-0.2840771,-0.16031039,-0.3505353,-0.31611377,-0.3301253,-0.9742092,-0.21600236,-0.16286153,-0.16972508,5.2802963e-05,-0.013067709,0.082722194,0.044134114,-0.28878295,-0.1559201,0.0070537417,-0.01532387,0.04340049,-0.4601864,-0.04356698,-0.054195285,0.00034671673,0.46721786,-0.14580436,-2.401608,-0.101335935,-0.07947981,0.16313528,0.21293785,0.116677955,-0.18993178,0.009596646,-0.17003442,0.14702392,0.0046388004,0.013435889,-0.094489284,-0.017757822,0.034867045
-0.053866267,0.021459553,0.060018677,-0.0038596191,0.022292515,-0.4406736,-0.009679468,-0.22481,-0.14045918,0.006571833,-0.29570782,-0.3797083,-1.2230911,0.4113371,-0.091055475,-0.010569964,-0.032460656,-0.013067709,0.09622833,0.044912554,0.006629913,-0.14204203,0.0070537417,-0.009984933,0.04340049,-0.57014364,-0.010600066,-0.07990327,0.00067203585,0.5348549,-0.13639653,-2.8568447,-0.11499553,-0.048963245,0.17271142,0.029400658,0.116677955,0.13269141,-0.037707403,-0.17005147,0.03446226,-0.010101812,0.015279522,-0.080690786,0.011455684,-0.0015522256
-0.06297371,0.06294269,0.2814386,0.16967049,0.046841115,-0.32307553,0.02798866,-0.24650727,-0.30463812,0.044798285,0.14526406,-0.20832522,1.194762,-0.08416218,0.21201527,-0.12454281,-0.17047761,-0.0063610906,0.06911232,0.10271141,0.35776034,-0.12134163,-0.003945431,-0.0033186087,0.03478776,0.24908592,0.021545801,-0.011727226,0.0005046589,0.81408036,0.08198758,1.0526695,-0.15825658,-0.05434306,0.44535786,0.1539401,0.14721829,0.19991492,0.04381008,0.30425715,0.122107774,0.009472468,0.02350308,-0.020571185,-0.039390083,0.00063815224
-0.031776693,0.07746547,0.28023344,0.11513628,0.044368163,-0.08757521,0.06400761,0.20042722,-0.29689053,0.051602192,0.16351436,-0.28425398,1.3356259,-0.48027477,0.090085,0.02361499,-0.17047761,-0.0063610906,0.088166304,-0.25037166,0.29980776,-0.07966708,-0.003945431,-0.0033186087,0.013162229,0.23793271,-0.043375522,-0.011727226,0.0008393744,0.84963596,0.0616492,1.3653314,-0.08228169,-0.035329647,0.45733646,0.15208738,0.21188667,0.22472772,0.04381008,0.31200448,0.10337421,0.0062758345,0.017735956,0.027289363,0.035760045,-0.0012064283
-0.0626529,0.07746547,0.055928595,-0.110593066,0.002155086,0.416154,0.05703854,0.13277623,-0.33053988,0.053445514,0.21948065,0.36048257,1.5259328,0.7800373,-0.030782066,0.02556733,-0.11811979,-0.0063610906,0.060737114,0.051827814,0.19521905,0.08937067,0.0028810655,0.0062309634,0.017576495,0.17814693,-0.015235659,-0.017941747,0.003639581,0.79345727,0.011349623,1.3805068,0.07556858,-0.03676766,0.4710447,-0.16307311,-0.09484553,-0.28312114,-0.0218197,0.25911313,-0.017964236,-0.010594889,0.014786912,0.031334013,0.042647094,-0.00049484114
